Episode,Reward,Steps,Epsilon
479,60.0,36,0.1
480,54.0,42,0.1
481,86.0,15,0.1
482,75.0,26,0.1
483,74.0,27,0.1
484,93.0,8,0.1
485,92.0,9,0.1
486,94.0,7,0.1
487,60.0,36,0.1
488,-385.0,300,0.1
489,94.0,7,0.1
490,64.0,32,0.1
491,79.0,22,0.1
492,86.0,15,0.1
493,62.0,34,0.1
494,86.0,15,0.1
495,60.0,36,0.1
496,86.0,15,0.1
497,90.0,11,0.1
498,34.0,57,0.1
499,83.0,18,0.1
500,82.0,19,0.1
501,60.0,36,0.1
502,56.0,40,0.1
503,85.0,16,0.1
504,94.0,7,0.1
505,92.0,9,0.1
506,59.0,37,0.1
507,94.0,7,0.1
508,94.0,7,0.1
509,94.0,7,0.1
510,92.0,9,0.1
511,93.0,8,0.1
512,52.0,44,0.1
513,65.0,31,0.1
514,74.0,27,0.1
515,93.0,8,0.1
516,63.0,33,0.1
517,94.0,7,0.1
518,94.0,7,0.1
519,79.0,22,0.1
520,88.0,13,0.1
521,86.0,15,0.1
522,85.0,16,0.1
523,91.0,10,0.1
524,91.0,10,0.1
525,91.0,10,0.1
526,86.0,15,0.1
527,86.0,15,0.1
528,85.0,16,0.1
529,85.0,16,0.1
530,90.0,11,0.1
531,86.0,15,0.1
532,90.0,11,0.1
533,65.0,36,0.1
534,77.0,24,0.1
535,88.0,13,0.1
536,90.0,11,0.1
537,47.0,44,0.1
538,85.0,16,0.1
539,39.0,57,0.1
540,63.0,33,0.1
541,81.0,20,0.1
542,60.0,36,0.1
543,94.0,7,0.1
544,62.0,34,0.1
545,90.0,11,0.1
546,85.0,16,0.1
547,63.0,33,0.1
548,-395.0,300,0.1
549,94.0,7,0.1
550,94.0,7,0.1
551,42.0,54,0.1
552,63.0,33,0.1
553,86.0,15,0.1
554,91.0,10,0.1
555,85.0,16,0.1
556,81.0,20,0.1
557,-370.0,300,0.1
558,81.0,20,0.1
559,94.0,7,0.1
560,92.0,9,0.1
561,89.0,12,0.1
562,86.0,15,0.1
563,65.0,31,0.1
564,88.0,13,0.1
565,94.0,7,0.1
566,86.0,15,0.1
567,48.0,43,0.1
568,94.0,7,0.1
569,18.0,68,0.1
570,79.0,22,0.1
571,94.0,7,0.1
572,55.0,41,0.1
573,79.0,22,0.1
574,58.0,38,0.1
575,95.0,6,0.1
576,94.0,7,0.1
577,86.0,15,0.1
578,50.0,51,0.1
579,91.0,10,0.1
580,86.0,15,0.1
581,84.0,17,0.1
582,-380.0,300,0.1
583,43.0,53,0.1
584,-360.0,300,0.1
585,92.0,9,0.1
586,86.0,15,0.1
587,66.0,30,0.1
588,56.0,40,0.1
589,76.0,25,0.1
590,87.0,14,0.1
591,67.0,29,0.1
592,39.0,52,0.1
593,94.0,7,0.1
594,67.0,29,0.1
595,95.0,6,0.1
596,95.0,6,0.1
597,94.0,7,0.1
598,95.0,6,0.1
599,85.0,16,0.1
