Episode,Reward,Epsilon
508,19.0,0.1
509,24.0,0.1
510,11.0,0.1
511,23.0,0.1
512,13.0,0.1
513,27.0,0.1
514,16.0,0.1
515,16.0,0.1
516,26.0,0.1
517,14.0,0.1
518,12.0,0.1
519,12.0,0.1
520,25.0,0.1
521,24.0,0.1
522,19.0,0.1
523,31.0,0.1
524,19.0,0.1
525,18.0,0.1
526,16.0,0.1
527,23.0,0.1
528,18.0,0.1
529,13.0,0.1
530,6.0,0.1
531,18.0,0.1
532,19.0,0.1
533,17.0,0.1
534,17.0,0.1
535,22.0,0.1
536,18.0,0.1
537,22.0,0.1
538,16.0,0.1
539,15.0,0.1
540,25.0,0.1
541,29.0,0.1
542,19.0,0.1
543,16.0,0.1
544,18.0,0.1
545,29.0,0.1
546,22.0,0.1
547,27.0,0.1
548,12.0,0.1
549,15.0,0.1
550,14.0,0.1
551,18.0,0.1
552,25.0,0.1
553,27.0,0.1
554,26.0,0.1
555,17.0,0.1
556,9.0,0.1
557,18.0,0.1
558,7.0,0.1
559,16.0,0.1
560,11.0,0.1
561,24.0,0.1
562,13.0,0.1
563,28.0,0.1
564,16.0,0.1
565,29.0,0.1
566,20.0,0.1
567,22.0,0.1
568,17.0,0.1
569,16.0,0.1
570,29.0,0.1
571,24.0,0.1
572,24.0,0.1
573,12.0,0.1
574,24.0,0.1
575,23.0,0.1
576,23.0,0.1
577,14.0,0.1
578,18.0,0.1
579,18.0,0.1
580,20.0,0.1
581,18.0,0.1
582,5.0,0.1
583,26.0,0.1
584,19.0,0.1
585,11.0,0.1
586,21.0,0.1
587,27.0,0.1
588,16.0,0.1
589,15.0,0.1
590,20.0,0.1
591,16.0,0.1
592,15.0,0.1
593,9.0,0.1
594,14.0,0.1
595,20.0,0.1
596,20.0,0.1
597,23.0,0.1
598,14.0,0.1
599,18.0,0.1
